Genome ID	Genome Name	Organism Name	NCBI Taxon ID	Genome Status	Strain	Serovar	Biovar	Pathovar	MLST	Other Typing	Culture Collection	Type Strain	Completion Date	Publication	BioProject Accession	BioSample Accession	Assembly Accession	SRA Accession	GenBank Accessions	RefSeq Accessions	Sequencing Centers	Sequencing Status	Sequencing Platform	Sequencing Depth	Assembly Method	Chromosomes	Plasmids	Contigs	Genome Length	GC Content	PATRIC CDS	RefSeq CDS	Isolation Site	Isolation Source	Isolation Comments	Collection Date	Isolation Country	Geographic Location	Latitude	Longitude	Altitude	Depth	Other Environmental	Host Name	Host Gender	Host Age	Host Health	Body Sample Site	Body Sample Subsite	Other Clinical	AntiMicrobial Resistance	AntiMicrobial Resistance Evidence	Gram Stain	Cell Shape	Motility	Sporulation	Temperature Range	Optimal Temperature	Salinity	Oxygen Requirement	Habitat	Disease	Comments	Additional Metadata	Coarse Consistency	Fine Consistency	Checkm Completeness	Checkm Contamination	Genome Quality Flags	Genome Quality	Date Inserted	Date Modified
"1679.127"	"Bifidobacterium longum subsp. longum strain MCC10067"		1679	"WGS"	"MCC10067"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368623"	"GCA_004333375.1"		"SHRO00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"49.7x"	"CLC NGS Cell v. 8"			55	2394373	59.641834	2091	1978		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:13:04.665Z"	"2019-07-18T03:13:04.665Z"
"1679.128"	"Bifidobacterium longum subsp. longum strain MCC10066"		1679	"WGS"	"MCC10066"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368622"	"GCA_004333385.1"		"SHRN00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"69.9x"	"CLC NGS Cell v. 8"			53	2293826	59.75985	2022	1904		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.3				"Good"	"2019-07-18T03:10:52.750Z"	"2019-07-18T03:10:52.750Z"
"1679.129"	"Bifidobacterium longum subsp. longum strain MCC10064"		1679	"WGS"	"MCC10064"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368621"	"GCA_004333425.1"		"SHRM00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"85.9x"	"CLC NGS Cell v. 8"			40	2265777	59.957226	1934	1829		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.5				"Good"	"2019-07-18T03:11:05.267Z"	"2019-07-18T03:11:05.267Z"
"1679.13"	"Bifidobacterium longum subsp. longum strain MC-42"		1679	"WGS"	"MC-42"								"2016-01-15T00:00:00Z"		"PRJNA302102"	"SAMN04263942"	"GCF_001516925.1"		"LNCM00000000"		"ICBFM SB RAS"		"Illumina MiSeq"	"80.0x"	"CLC GW v. 8.5"			29	2288251	59.81	1974	1801		"infant feces"		"1976"	"Russia"	"Russia"						"Human, Homo sapiens"														"C"					"The genome sequence of Bifidobacterium longum subsp. longum MC-42"	"sample_type:cell culture"	99.9	99.6	100			"Good"	"2016-02-02T21:07:55.437Z"	"2016-02-02T21:07:55.437Z"
"1679.130"	"Bifidobacterium longum subsp. longum strain MCC10062"		1679	"WGS"	"MCC10062"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368620"	"GCA_004333445.1"		"SHRL00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"67.7x"	"CLC NGS Cell v. 8"			59	2325915	59.828884	2005	1878		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:14:03.384Z"	"2019-07-18T03:14:03.384Z"
"1679.131"	"Bifidobacterium longum subsp. longum strain MCC10055"		1679	"WGS"	"MCC10055"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368614"	"GCA_004333455.1"		"SHRF00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"44.1x"	"CLC NGS Cell v. 8"			72	2486026	60.078175	2216	2073		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99				"Good"	"2019-07-18T03:14:40.595Z"	"2019-07-18T03:14:40.595Z"
"1679.132"	"Bifidobacterium longum subsp. longum strain MCC10060"		1679	"WGS"	"MCC10060"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368619"	"GCA_004333465.1"		"SHRK00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"55x"	"CLC NGS Cell v. 8"			59	2313106	60.184444	2001	1872		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:12:20.802Z"	"2019-07-18T03:12:20.802Z"
"1679.133"	"Bifidobacterium longum subsp. longum strain MCC10056"		1679	"WGS"	"MCC10056"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368615"	"GCA_004333475.1"		"SHRG00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"31.4x"	"CLC NGS Cell v. 8"			79	2299748	59.96109	2022	1870		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	98.9				"Good"	"2019-07-18T03:12:20.954Z"	"2019-07-18T03:12:20.954Z"
"1679.134"	"Bifidobacterium longum subsp. longum strain MCC10053"		1679	"WGS"	"MCC10053"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368612"	"GCA_004333515.1"		"SHRD00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"42.9x"	"CLC NGS Cell v. 8"			51	2425822	60.271324	2140	2009		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:15:59.180Z"	"2019-07-18T03:15:59.180Z"
"1679.135"	"Bifidobacterium longum subsp. longum strain MCC10052"		1679	"WGS"	"MCC10052"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368611"	"GCA_004333535.1"		"SHRC00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"38.5x"	"CLC NGS Cell v. 8"			65	2428737	60.122524	2156	1988		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	98.8				"Good"	"2019-07-18T03:13:39.916Z"	"2019-07-18T03:13:39.916Z"
"1679.136"	"Bifidobacterium longum subsp. longum strain MCC10050"		1679	"WGS"	"MCC10050"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368609"	"GCA_004333555.1"		"SHRA00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"64.9x"	"CLC NGS Cell v. 8"			34	2280366	59.76865	1930	1830		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.3				"Good"	"2019-07-18T03:13:42.175Z"	"2019-07-18T03:13:42.175Z"
"1679.137"	"Bifidobacterium longum subsp. longum strain MCC10048"		1679	"WGS"	"MCC10048"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368608"	"GCA_004333565.1"		"SHQZ00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"63.6x"	"CLC NGS Cell v. 8"			71	2456016	59.803722	2131	1997		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:16:36.617Z"	"2019-07-18T03:16:36.617Z"
"1679.138"	"Bifidobacterium longum subsp. longum strain MCC10046"		1679	"WGS"	"MCC10046"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368606"	"GCA_004333575.1"		"SHQX00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"110.1x"	"CLC NGS Cell v. 8"			71	2286406	59.89785	1916	1795		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.6				"Good"	"2019-07-18T03:14:03.265Z"	"2019-07-18T03:14:03.265Z"
"1679.139"	"Bifidobacterium longum subsp. longum strain MCC10045"		1679	"WGS"	"MCC10045"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368605"	"GCA_004333625.1"		"SHQW00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"90.6x"	"CLC NGS Cell v. 8"			61	2437781	60.337414	2157	2035		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:14:04.444Z"	"2019-07-18T03:14:04.444Z"
"1679.14"	"Bifidobacterium longum subsp. longum strain LO-06"		1679	"WGS"	"LO-06"								"2016-07-09T00:00:00Z"	"27340092"	"PRJDB4597"	"SAMD00047618"	"GCF_001686145.1"		"BCYH00000000"		"Gastrointestinal Symbiosis, Basic Research, Yakult Central Institute"		"Illumina MiSeq"	"40x"	"ABySS v. 1.3.5"			77	2437471	60.04	2116			"infant feces"	"isolated from infant feces by using bifidobacteria-specific TOS propionate agar plates supplemented with 50 mg/L mupirocin"		"Japan"	"Japan"					"env_biome:not applicable"	"Human, Homo sapiens"																			"PRJDB4041 has been replaced by PRJDB4597. The strains were isolated from infant feces by using bifidobacteria-specific TOS propionate agar plates supplemented with 50 mg/L mupirocin. The draft genomes of the strains were sequenced with the MiSeq sequencing platform. Multiplexed shotgun libraries were constructed using the Nextera XT DNA Sample Prep Kit v2. The resulting paired-end sequence reads (250 bp ? 2) were assembled into contigs using the assembly software ABySS 1.3.5."		99.8	99.3	100			"Good"	"2016-08-26T21:09:14.489Z"	"2016-08-26T21:09:14.489Z"
"1679.140"	"Bifidobacterium longum subsp. longum strain MCC10043"		1679	"WGS"	"MCC10043"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368603"	"GCA_004333635.1"		"SHQU00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"53.1x"	"CLC NGS Cell v. 8"			62	2623861	59.53429	2316	2191		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99				"Good"	"2019-07-18T03:17:02.536Z"	"2019-07-18T03:17:02.536Z"
"1679.141"	"Bifidobacterium longum subsp. longum strain MCC10044"		1679	"WGS"	"MCC10044"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368604"	"GCA_004333645.1"		"SHQV00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"191.3x"	"CLC NGS Cell v. 8"			50	2512809	60.34597	2243	2097		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.5				"Good"	"2019-07-18T03:16:58.845Z"	"2019-07-18T03:16:58.845Z"
"1679.142"	"Bifidobacterium longum subsp. longum strain MCC10042"		1679	"WGS"	"MCC10042"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368602"	"GCA_004333675.1"		"SHQT00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"67x"	"CLC NGS Cell v. 8"			53	2320556	60.0834	2035	1924		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.4				"Good"	"2019-07-18T03:15:01.760Z"	"2019-07-18T03:15:01.760Z"
"1679.143"	"Bifidobacterium longum subsp. longum strain MCC10041"		1679	"WGS"	"MCC10041"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368601"	"GCA_004333695.1"		"SHQS00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"72x"	"CLC NGS Cell v. 8"			47	2370638	60.13221	2063	1950		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.6	99.3				"Good"	"2019-07-18T03:15:08.927Z"	"2019-07-18T03:15:08.927Z"
"1679.144"	"Bifidobacterium longum subsp. longum strain MCC10035"		1679	"WGS"	"MCC10035"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368596"	"GCA_004333715.1"		"SHQN00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"48.3x"	"CLC NGS Cell v. 8"			52	2457503	59.820232	2210	2064		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99				"Good"	"2019-07-18T03:17:55.148Z"	"2019-07-18T03:17:55.148Z"
"1679.145"	"Bifidobacterium longum subsp. longum strain MCC10036"		1679	"WGS"	"MCC10036"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368597"	"GCA_004333735.1"		"SHQO00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"56.1x"	"CLC NGS Cell v. 8"			22	2249978	59.89063	1962	1861		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.7	99.3				"Good"	"2019-07-18T03:18:16.332Z"	"2019-07-18T03:18:16.332Z"
"1679.146"	"Bifidobacterium longum subsp. longum strain MCC10034"		1679	"WGS"	"MCC10034"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368595"	"GCA_004333765.1"		"SHQM00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"67.4x"	"CLC NGS Cell v. 8"			70	2253632	59.988144	1923	1808		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:16:37.738Z"	"2019-07-18T03:16:37.738Z"
"1679.147"	"Bifidobacterium longum subsp. longum strain MCC10033"		1679	"WGS"	"MCC10033"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368594"	"GCA_004333775.1"		"SHQL00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"53.3x"	"CLC NGS Cell v. 8"			63	2392045	59.983948	2117	1984		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99				"Good"	"2019-07-18T03:16:37.650Z"	"2019-07-18T03:16:37.650Z"
"1679.148"	"Bifidobacterium longum subsp. longum strain MCC10031"		1679	"WGS"	"MCC10031"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368593"	"GCA_004333785.1"		"SHQK00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"58.7x"	"CLC NGS Cell v. 8"			41	2401154	60.114845	2072	1957		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:17:00.065Z"	"2019-07-18T03:17:00.065Z"
"1679.149"	"Bifidobacterium longum subsp. longum strain MCC10025"		1679	"WGS"	"MCC10025"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368588"	"GCA_004333845.1"		"SHQF00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"36.7x"	"CLC NGS Cell v. 8"			56	2408845	60.112293	2096	1958		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:17:01.407Z"	"2019-07-18T03:17:01.407Z"
"1679.150"	"Bifidobacterium longum subsp. longum strain MCC10029"		1679	"WGS"	"MCC10029"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368591"	"GCA_004333795.1"		"SHQI00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"105.2x"	"CLC NGS Cell v. 8"			55	2346104	59.892956	2030	1936		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:19:08.675Z"	"2019-07-18T03:19:08.675Z"
"1679.151"	"Bifidobacterium longum subsp. longum strain MCC10023"		1679	"WGS"	"MCC10023"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368587"	"GCA_004333855.1"		"SHQE00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"55.2x"	"CLC NGS Cell v. 8"			41	2308165	60.292614	1989	1872		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.2				"Good"	"2019-07-18T03:19:31.607Z"	"2019-07-18T03:19:31.607Z"
"1679.152"	"Bifidobacterium longum subsp. longum strain MCC10021"		1679	"WGS"	"MCC10021"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368585"	"GCA_004333875.1"		"SHQC00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"52.4x"	"CLC NGS Cell v. 8"			58	2235753	60.032124	1920	1808		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:17:53.870Z"	"2019-07-18T03:17:53.870Z"
"1679.153"	"Bifidobacterium longum subsp. longum strain MCC10022"		1679	"WGS"	"MCC10022"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368586"	"GCA_004333895.1"		"SHQD00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"43.2x"	"CLC NGS Cell v. 8"			55	2419042	59.74857	2130	2008		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.1				"Good"	"2019-07-18T03:18:17.352Z"	"2019-07-18T03:18:17.352Z"
"1679.154"	"Bifidobacterium longum subsp. longum strain MCC10018"		1679	"WGS"	"MCC10018"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368583"	"GCA_004333905.1"		"SHQA00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"79.5x"	"CLC NGS Cell v. 8"			32	2330414	60.038773	2045	1934		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.7	99.2				"Good"	"2019-07-18T03:21:13.188Z"	"2019-07-18T03:21:13.188Z"
"1679.155"	"Bifidobacterium longum subsp. longum strain MCC10015"		1679	"WGS"	"MCC10015"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368580"	"GCA_004333925.1"		"SHPX00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"47.3x"	"CLC NGS Cell v. 8"			83	2630290	59.94643	2393	2219		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.7	99				"Good"	"2019-07-18T03:22:37.636Z"	"2019-07-18T03:22:37.636Z"
"1679.156"	"Bifidobacterium longum subsp. longum strain MCC10017"		1679	"WGS"	"MCC10017"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368582"	"GCA_004333935.1"		"SHPZ00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"68x"	"CLC NGS Cell v. 8"			60	2448826	59.70416	2169	2038		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:19:30.421Z"	"2019-07-18T03:19:30.421Z"
"1679.157"	"Bifidobacterium longum subsp. longum strain MCC10014"		1679	"WGS"	"MCC10014"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368579"	"GCA_004333975.1"		"SHPW00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"57.3x"	"CLC NGS Cell v. 8"			59	2466212	60.23452	2204	2059		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.3				"Good"	"2019-07-18T03:19:53.938Z"	"2019-07-18T03:19:53.938Z"
"1679.158"	"Bifidobacterium longum subsp. longum strain MCC10010"		1679	"WGS"	"MCC10010"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368576"	"GCA_004334005.1"		"SHPT00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"39.7x"	"CLC NGS Cell v. 8"			93	2452447	60.35743	2182	2028		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.2				"Good"	"2019-07-18T03:19:54.136Z"	"2019-07-18T03:19:54.136Z"
"1679.159"	"Bifidobacterium longum subsp. longum strain MCC10012"		1679	"WGS"	"MCC10012"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368578"	"GCA_004333995.1"		"SHPV00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"56.1x"	"CLC NGS Cell v. 8"			67	2479873	59.64878	2145	2015		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:22:39.874Z"	"2019-07-18T03:22:39.874Z"
"1679.160"	"Bifidobacterium longum subsp. longum strain MCC10008"		1679	"WGS"	"MCC10008"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368574"	"GCA_004334035.1"		"SHPR00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"42.5x"	"CLC NGS Cell v. 8"			80	2543674	59.97148	2326	2178		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.6				"Good"	"2019-07-18T03:20:01.397Z"	"2019-07-18T03:20:01.397Z"
"1679.161"	"Bifidobacterium longum subsp. longum strain MCC10007"		1679	"WGS"	"MCC10007"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368573"	"GCA_004334045.1"		"SHPQ00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"52.7x"	"CLC NGS Cell v. 8"			59	2484629	60.176548	2241	2104		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.9	99.3				"Good"	"2019-07-18T03:22:37.687Z"	"2019-07-18T03:22:37.687Z"
"1679.162"	"Bifidobacterium longum subsp. longum strain MCC10004"		1679	"WGS"	"MCC10004"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368571"	"GCA_004334065.1"		"SHPO00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"40.7x"	"CLC NGS Cell v. 8"			52	2551732	60.01598	2240	2095		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.6				"Good"	"2019-07-18T03:20:52.650Z"	"2019-07-18T03:20:52.650Z"
"1679.163"	"Bifidobacterium longum subsp. longum strain MCC10003"		1679	"WGS"	"MCC10003"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368570"	"GCA_004334075.1"		"SHPN00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"35.2x"	"CLC NGS Cell v. 8"			69	2526769	60.09287	2264	2094		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.6	98.9				"Good"	"2019-07-18T03:23:39.584Z"	"2019-07-18T03:23:39.584Z"
"1679.164"	"Bifidobacterium longum subsp. longum strain MCC10085"		1679	"WGS"	"MCC10085"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368640"	"GCA_004334105.1"		"SHSF00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"69.7x"	"CLC NGS Cell v. 8"			64	2366299	60.002224	2078	1949		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:23:39.750Z"	"2019-07-18T03:23:39.750Z"
"1679.165"	"Bifidobacterium longum subsp. longum strain MCC10083"		1679	"WGS"	"MCC10083"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368638"	"GCA_004334145.1"		"SHSD00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"41.2x"	"CLC NGS Cell v. 8"			64	2475567	60.249672	2127	2001		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99				"Good"	"2019-07-18T03:21:15.329Z"	"2019-07-18T03:21:15.329Z"
"1679.166"	"Bifidobacterium longum subsp. longum strain MCC10077"		1679	"WGS"	"MCC10077"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368633"	"GCA_004334155.1"		"SHRY00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"42.6x"	"CLC NGS Cell v. 8"			40	2411622	60.020103	2126	2014		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.4				"Good"	"2019-07-18T03:24:39.382Z"	"2019-07-18T03:24:39.382Z"
"1679.167"	"Bifidobacterium longum subsp. longum strain MCC10074"		1679	"WGS"	"MCC10074"								"2019-03-08T00:00:00Z"	"29311585"	"PRJNA374900"	"SAMN06368630"	"GCA_004334165.1"		"SHRV00000000"		"Morinaga Milk Industry"		"Illumina MiSeq"	"54.2x"	"CLC NGS Cell v. 8"			34	2410008	59.764366	2148	2036		"feces"		"2015"	"Japan"	"Japan"						"Human, Homo sapiens"																			"Comparative genomics of Bifidobacterium longum subsp. longum"	"sample_type:cell culture"	99.8	99.3				"Good"	"2019-07-18T03:22:36.502Z"	"2019-07-18T03:22:36.502Z"
